any,1100,1149,3120,3745,4454,4474,4707,5320,6377,7062,7535,8073,10209,10339,10611,11931,14309,18176,20918,21693,27797,28723,31450,34700
Y,299,299,299,339,299,299,299,299,299,299,319,319,299,299,,339,299,319,319,299,,299,319,299
Y,269,299,269,299,299,299,299,299,259,299,299,299,269,299,,299,299,299,269,269,,299,299,269
Y,219,199,219,299,199,199,199,199,179,199,199,319,219,199,,299,199,219,219,219,,199,319,219
Y,1069,1029,1069,1069,1029,1029,1029,1029,1099,1029,1029,1039,1069,1029,,1039,1029,1029,1069,1069,,1029,1049,1069
Y,989,969,989,1009,969,969,969,969,999,969,969,979,989,969,,979,969,969,989,989,,969,989,989
Y,579,619,579,669,629,649,649,619,649,629,619,639,589,619,,639,629,619,579,569,,619,659,579
Y,359,349,359,349,349,349,349,349,369,349,349,349,359,349,,349,349,349,359,359,,349,349,359
Y,1009,949,1009,999,949,949,949,949,999,949,949,959,1009,949,,959,949,949,1009,1009,,949,969,1009
Y,929,889,929,929,889,889,889,889,899,889,889,899,929,889,,899,889,889,929,929,,889,909,929
Y,499,529,499,579,529,539,529,539,499,529,529,539,499,529,,539,529,529,499,499,,529,559,499
Y,419,419,419,419,419,419,419,419,459,419,419,419,419,419,,419,419,419,419,419,,419,419,419
Y,269,299,269,299,299,299,299,299,259,299,299,299,269,299,,299,299,299,269,269,,299,299,269
Y,359,349,359,349,349,349,349,349,369,349,349,349,359,349,,349,349,349,359,359,,349,349,359
Y,419,419,419,419,419,419,419,419,459,419,419,419,419,419,,419,419,419,419,419,,419,419,419
Y,169,139,179,139,139,139,139,139,189,139,139,139,169,139,,139,139,139,169,179,,139,139,169
Y,100,139,100,149,139,139,139,139,139,139,139,149,100,139,,149,139,139,100,100,,139,149,100
Y,149,100,149,149,100,100,100,100,139,100,100,149,149,100,,149,100,100,149,149,,100,149,149
Y,199,179,199,179,179,179,179,179,189,179,179,179,199,179,,179,179,179,199,199,,179,179,199
Y,219,199,219,199,199,199,199,199,199,199,199,199,219,199,,199,199,199,219,219,,199,199,219
Y,189,169,199,169,169,169,169,169,219,169,169,169,189,169,,169,169,169,189,199,,169,169,199
Y,189,169,199,169,169,169,169,169,219,169,169,169,189,169,,169,169,169,189,199,,169,169,199
Y,169,,169,,,,,,,,,,,,,,,,169,169,,,,
Y,279,269,289,299,249,249,,249,,249,269,289,279,249,,289,269,269,289,279,,249,259,289
Y,349,279,349,289,279,279,289,279,299,279,279,279,349,279,,279,289,279,349,349,,279,289,349
Y,100,139,100,149,139,139,139,139,139,139,139,149,100,139,,149,139,139,100,100,,139,149,100
Y,149,100,149,149,100,100,100,100,139,100,100,149,149,100,,149,100,100,149,149,,100,149,149
Y,199,179,199,179,179,179,179,179,189,179,179,179,199,179,,179,179,179,199,199,,179,179,199
Y,219,199,219,199,199,199,199,199,199,199,199,199,219,199,,199,199,199,219,219,,199,199,219
Y,39,30,39,69,30,30,30,30,40,30,30,69,39,30,,69,30,30,39,39,,30,69,39
Y,619,569,619,,579,569,569,569,549,579,569,,619,569,,,569,569,619,619,,569,,619
Y,149,,149,,,,,,,,,,,,,,,,149,149,,,,
Y,389,399,389,429,399,399,399,399,379,399,399,419,389,399,,419,399,399,389,389,,399,419,389
