any,308,589,706,719,867,1105,2108,2204,2929,2933,3320,3334,3411,4010,4037,4120,4419,5065,5231,5688,5861,5997,6048,6232,6343,6384,6396,6408,6805,7490,7971,8209,10047,10299,10437,10575,10781,10803,11046,11107,11193,11456,11462,11655,11735,11854,11855,11945,12328,13504,14202,14234,14285,14294,14997,15151,15628,15629,15710,16556,16909,17330,17863,17961,17972,18187,18188,19334,19335,19635,20553,20695,20759,20816,22179,22757,22758,22943,23491,23894,24037,24042,25733,26133,27439,27739,28862,28879,28980,29589,29590,30203,30204,30363,30706,30707,31044,31125,31301,31431,31437,31466,31710,31840,32035,32093,33152,33425,33534,33930,34265,34272,34870,35201,35427,36055
Y,259,249,235,235,199,215,199,235,249,215,199,239,199,199,235,259,199,215,235,199,269,229,235,199,269,199,199,199,199,229,319,229,229,235,249,239,235,239,235,229,235,199,239,215,269,199,199,259,319,235,199,259,199,235,259,199,235,259,199,259,199,199,249,199,229,199,235,229,229,229,199,235,239,219,259,229,199,199,249,199,259,199,279,219,235,,,,229,,229,,,,,,,,,,199,,199,,239,229,235,199,,235,239,235,229,,235,249
Y,439,399,410,440,399,430,429,430,449,430,389,419,399,399,440,429,389,430,450,379,469,399,430,419,439,389,399,399,439,399,535,399,399,440,449,419,435,399,450,399,430,379,399,430,539,399,389,439,539,430,419,449,399,460,449,459,440,399,419,459,419,399,439,399,399,389,440,399,399,419,389,430,469,429,449,399,379,429,399,399,469,399,399,379,450,,,,399,,399,,,,,,,,,,399,,399,,399,399,440,399,,450,469,440,399,,410,389
Y,100,100,140,140,139,140,139,140,139,140,139,139,139,139,140,139,139,140,140,139,139,139,140,139,139,139,139,139,139,139,150,139,139,140,139,139,140,139,140,139,140,139,139,140,100,139,139,139,149,130,139,139,139,140,139,139,140,100,139,139,139,139,100,139,139,139,140,139,100,139,139,140,139,100,139,139,139,139,100,139,139,139,139,139,140,,,,100,,139,,,,,,,,,,139,,139,,139,139,140,139,,140,139,130,139,,140,139
Y,379,379,380,360,359,370,369,360,379,380,369,379,329,359,370,399,369,360,365,369,389,339,370,319,379,359,359,359,349,339,465,339,339,370,379,369,360,379,370,339,370,369,369,385,379,369,349,549,459,370,319,549,369,370,459,389,370,339,319,379,319,369,349,359,339,369,360,349,289,369,369,370,449,379,369,339,359,329,369,369,429,319,439,379,380,,,,289,,349,,,,,,,,,,369,,349,,339,339,370,369,,370,449,380,349,,360,379
Y,729,729,925,940,979,945,979,950,789,945,959,969,789,979,920,819,959,945,960,979,889,789,955,789,829,959,979,979,969,779,815,799,799,940,799,949,960,829,940,819,940,999,959,960,600,939,979,829,799,950,779,849,959,950,839,859,930,699,789,829,779,969,869,979,789,969,950,799,829,959,989,960,829,749,959,819,969,799,849,969,869,989,829,999,960,,,,769,,789,,,,,,,,,,979,,959,,819,819,950,979,,940,819,940,789,,930,969
Y,249,219,220,210,219,230,229,210,229,230,199,219,209,219,220,229,199,230,200,199,229,249,215,209,229,199,219,219,229,249,319,249,249,235,219,209,200,199,230,249,220,199,219,230,319,199,199,229,319,220,209,229,199,245,229,239,220,219,209,239,209,199,249,219,249,199,215,249,219,209,219,220,209,209,219,249,199,209,219,199,249,199,219,199,200,,,,219,,249,,,,,,,,,,219,,199,,249,249,200,199,,225,239,200,249,,220,219
Y,189,219,180,130,219,180,189,130,179,180,159,149,199,219,125,189,189,160,120,159,189,169,100,199,149,179,219,219,179,199,265,199,199,120,169,239,150,169,190,169,125,199,219,160,239,219,159,179,269,120,199,169,199,140,159,159,130,199,199,149,189,219,169,219,199,179,150,199,129,219,189,120,199,189,239,169,199,219,159,219,199,189,179,219,125,,,,139,,169,,,,,,,,,,219,,199,,169,169,145,159,,120,199,150,199,,130,239
Y,139,139,120,120,129,125,129,120,100,125,129,120,119,129,120,100,129,125,120,129,100,100,120,119,100,129,129,129,129,100,215,100,100,120,100,119,120,100,120,100,120,129,119,125,149,129,129,100,215,120,119,100,129,120,100,129,120,139,119,100,119,129,139,129,100,129,120,100,119,119,129,120,100,139,119,100,129,119,139,129,100,129,119,129,120,,,,119,,100,,,,,,,,,,129,,129,,100,100,120,129,,120,100,120,100,,120,119
Y,229,219,160,165,219,195,219,165,189,195,189,210,199,219,175,189,199,195,170,189,219,229,170,199,209,189,219,219,219,229,309,229,229,175,189,219,150,189,175,229,180,189,199,195,329,189,199,199,309,170,199,199,189,175,219,239,165,209,199,199,199,189,219,219,229,189,165,229,189,199,199,165,169,219,219,229,199,199,209,189,199,189,239,189,200,,,,179,,229,,,,,,,,,,189,,199,,239,229,165,199,,170,199,155,229,,180,219
Y,100,100,100,100,,100,,100,100,100,,100,100,,100,100,,100,100,,,100,100,100,100,,,,,100,130,100,100,100,100,100,100,100,100,100,100,,100,100,149,,,100,130,100,100,100,,100,100,129,100,100,100,100,,,100,,100,,100,100,100,100,,100,100,100,100,100,,,100,,100,,100,,100,,,,100,,100,,,,,,,,,,,,,,100,100,100,,,100,100,100,100,,100,100
