Y,299,299,219,299,299,229,299,259,299,229,219,259,219,259,259,,259,199,259,259,259,259,299,259,259,219,299,229,289,289,299,299,249,259,259,259,299,299,299,219,259,299,299,299,259,299,219,219,,259,289,299,299,299,259,219,219,229,259,219,299,219
Y,119,119,129,119,119,129,119,129,119,129,129,129,129,129,129,,129,129,129,129,129,119,119,129,129,129,119,129,119,119,119,119,119,129,129,129,119,119,119,129,129,119,119,119,129,119,129,129,,129,119,119,119,119,119,129,129,129,119,129,119,129
Y,169,169,179,169,169,179,179,219,169,179,179,219,179,219,219,,219,179,219,219,219,159,169,219,219,179,169,169,169,169,169,169,169,219,219,219,169,169,169,179,219,169,169,169,219,169,179,179,,219,159,169,169,169,159,179,179,179,159,159,169,179
Y,139,149,149,149,149,159,159,199,149,149,149,199,159,199,199,,199,149,199,199,199,139,149,199,199,149,149,159,139,149,149,149,129,199,199,199,149,149,169,149,199,149,149,149,199,149,149,149,,199,159,149,149,149,139,149,149,149,139,139,149,149
Y,539,519,499,519,519,479,549,469,539,499,499,469,499,459,459,,469,499,469,469,469,459,519,459,459,499,519,489,519,529,519,519,449,459,469,469,519,519,529,499,449,519,519,519,469,519,519,499,,449,519,519,519,519,459,499,519,519,459,469,519,499
Y,639,619,569,619,619,529,629,599,619,569,559,599,549,599,599,,599,559,599,599,599,599,619,599,599,569,619,519,639,639,619,619,619,599,599,599,619,619,599,569,599,619,619,619,599,619,569,579,,599,619,619,619,599,599,559,569,559,599,529,619,559
Y,569,559,499,559,559,469,579,599,569,489,499,599,489,599,599,,599,489,599,599,599,549,559,599,599,499,559,479,569,569,559,559,599,599,599,599,559,559,559,499,599,559,559,559,599,559,499,499,,599,579,559,559,559,549,499,489,499,549,459,559,479
Y,349,349,299,349,349,299,,349,339,299,299,349,299,349,349,,349,299,349,349,349,359,349,349,349,299,349,299,,,349,349,359,349,349,349,349,349,329,299,349,349,349,349,349,349,299,299,,349,,349,349,329,359,299,299,299,359,299,349,299
Y,1099,1119,1079,1119,1119,1029,1099,1159,1109,1079,1089,1159,1089,1159,1159,,1159,1079,1159,1159,1159,1039,1119,1159,1159,1079,1119,1029,1099,1099,1119,1119,1179,1159,1159,1159,1119,1119,1119,1079,1159,1119,1119,1119,1159,1119,1089,1079,,1159,1099,1119,1119,1119,1039,1079,1079,1089,1039,1029,1119,1079
Y,1039,1059,999,1059,1059,949,1039,1069,1059,999,1019,1069,1009,1069,1069,,1069,999,1069,1069,1069,979,1059,1069,1069,999,1059,949,1039,1039,1059,1059,1109,1069,1069,1069,1059,1059,1039,999,1069,1059,1059,1059,1069,1059,999,999,,1069,1039,1059,1059,1039,979,999,999,1019,979,949,1059,999
Y,659,669,649,669,669,609,659,729,669,649,649,729,659,729,729,,729,649,729,729,729,639,669,729,729,649,669,609,659,659,669,669,719,729,729,729,669,669,659,649,729,669,669,669,729,669,649,649,,729,659,669,669,659,639,649,649,649,639,609,669,649
Y,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,29,29,29,29,29,29,29,29,29,29,29,29,29
Y,679,649,599,649,649,599,659,679,659,599,599,669,579,669,669,,679,589,669,679,669,629,649,679,679,599,649,599,659,659,649,649,699,679,669,669,649,649,659,599,679,649,649,649,669,649,599,599,,679,659,649,649,649,629,599,599,599,629,599,649,599
Y,1039,1039,1049,1039,1039,969,1039,1049,1049,1049,1069,1049,1029,1049,1049,,1049,1039,1049,1049,1049,989,1039,1049,1049,1039,1039,969,1029,1049,1039,1039,1079,1049,1049,1049,1039,1039,1059,1039,1049,1039,1039,1039,1049,1039,1049,1039,,1049,1039,1039,1039,1059,989,1029,1049,1069,989,969,1039,1039
Y,979,989,949,989,989,889,979,959,999,949,979,959,949,959,959,,959,959,959,959,959,919,989,959,959,949,989,889,969,989,989,989,999,959,959,959,989,989,979,949,959,989,989,989,959,989,969,959,,959,979,989,989,979,919,949,949,979,919,889,989,959
Y,589,589,619,589,589,539,589,619,599,619,619,619,589,619,619,,619,599,619,619,619,579,589,619,619,599,589,539,579,599,589,589,599,619,619,619,589,589,589,599,619,589,589,589,619,589,599,599,,619,589,589,589,589,579,589,619,619,579,539,589,599
Y,99,99,69,99,99,89,99,99,99,69,50,99,50,99,99,,99,69,99,99,99,79,99,99,99,50,99,69,99,99,99,99,59,99,99,99,99,99,99,50,99,99,99,99,99,99,69,50,,99,99,99,99,99,79,50,69,50,79,59,99,69
Y,379,389,349,389,389,389,379,459,379,349,349,459,349,459,459,,459,349,459,459,459,359,,459,459,349,389,389,379,379,389,389,329,459,459,459,389,389,379,349,459,389,389,389,459,389,349,349,,459,379,389,389,379,359,349,349,349,359,389,389,349
