any,1248,1249,2111,2332,2515,2693,2731,3059,5978,5979,6524,6844,7507,7508,7575,7593,10297,11551,11844,11906,12084,12221,12222,12612,13080,13124,13379,13501,13978,15288,15350,15594,15719,15722,17338,17806,18406,20103,20259,24659,28996,31587,31872,32221,32354,33313,34384
Y,985,1160,1169,1149,1160,985,1150,960,959,985,1009,1149,1169,1150,1150,990,1149,1149,960,975,990,850,1149,990,999,1149,1160,990,1160,1149,960,990,979,1150,,990,1149,1179,990,1160,,990,1155,960,1160,1160,1149
Y,925,1095,1069,1049,1095,925,1050,900,899,925,969,1049,1069,1050,1085,900,1049,1049,900,920,900,800,1049,900,959,1049,1095,900,1095,1049,900,900,929,1085,,900,1049,1079,925,1095,,900,1095,900,1095,1095,1049
Y,675,815,750,750,815,675,750,625,625,675,649,750,750,750,800,630,750,750,625,660,630,575,750,630,659,750,815,630,815,750,625,630,659,800,,630,750,759,675,815,,630,800,625,815,815,750
Y,50,35,30,30,35,50,30,,,50,39,30,30,30,35,40,30,30,,50,40,35,30,40,39,30,35,40,35,30,,40,39,35,,40,30,30,50,35,,40,35,,35,35,30
Y,560,640,819,819,640,560,825,600,595,550,599,800,800,825,650,575,800,825,590,545,575,500,819,590,589,800,640,580,640,825,595,580,589,640,,590,800,850,560,640,,575,660,590,640,640,800
Y,950,1020,1129,1109,1020,950,1110,920,919,950,969,1109,1129,1110,1020,960,1109,1109,920,915,960,770,1109,960,949,1109,1020,960,1020,1109,920,960,949,1020,,960,1109,1150,955,1020,,960,1020,920,1020,1020,1109
Y,890,970,1029,1029,970,890,1010,860,859,890,909,1009,1029,1010,970,880,1009,1009,860,860,870,725,1009,870,899,1029,970,870,970,1009,860,870,869,970,,870,1029,1050,890,970,,870,975,860,970,970,1029
Y,635,690,729,729,690,655,730,580,579,635,569,700,729,700,690,600,700,700,580,590,600,530,719,600,579,729,690,600,690,719,580,600,579,690,,600,729,725,655,690,,600,680,580,690,690,729
Y,50,65,99,75,65,50,75,50,50,50,59,79,99,80,60,50,79,99,50,80,50,100,75,60,69,89,65,50,65,99,50,60,50,70,,50,79,75,60,65,,60,70,50,65,65,79
Y,440,420,400,400,420,440,400,375,375,440,489,400,400,400,420,,400,400,375,,,,400,,329,400,420,,420,400,375,,329,420,,,400,439,440,420,,,420,375,420,420,400
Y,545,620,550,549,620,545,545,500,500,545,599,549,550,545,620,535,549,549,500,,535,,549,535,489,549,620,535,620,549,500,535,499,620,,535,549,639,535,620,,535,620,500,620,620,549
Y,3290,2815,,,2815,3290,2600,2700,2700,3290,,,,2600,2800,2200,,2600,2700,2800,2200,2200,,2200,,,2815,2200,2815,2600,2700,2200,,2800,,2200,,2600,3290,2815,,2200,2800,2700,2815,2815,
Y,350,390,350,350,390,350,350,325,325,350,249,350,350,350,390,200,350,350,325,329,200,200,350,200,200,350,390,200,390,350,325,200,259,390,,200,350,350,350,390,,200,390,,390,390,350
Y,450,470,450,450,470,450,450,375,375,450,300,450,450,450,470,340,450,450,375,419,340,340,450,340,310,450,470,340,470,450,375,340,359,470,,340,450,450,450,470,,340,470,,470,470,450
Y,515,520,550,550,520,515,550,425,425,515,359,550,550,550,520,400,550,550,425,479,400,390,550,400,360,550,520,400,520,550,425,400,419,520,,400,550,550,515,520,,400,520,,520,520,550
Y,100,115,100,100,115,100,100,100,100,100,135,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,115,100,115,100,100,100,100,100,,100,90,100,100,115,,100,100,100,115,115,100
Y,135,139,139,139,139,135,139,135,139,135,149,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,139,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,650,745,769,749,745,645,765,620,619,640,719,759,769,765,765,620,759,769,620,640,620,560,749,620,639,759,745,620,745,769,635,620,639,765,,620,759,799,620,745,,620,765,630,745,745,739
Y,690,790,819,819,790,690,835,680,679,685,779,819,819,835,795,675,839,839,680,680,675,625,819,675,699,839,790,675,790,839,690,675,709,795,,675,819,900,685,790,,675,790,690,790,790,819
Y,620,755,729,729,755,620,745,630,629,620,669,729,729,745,735,610,749,749,630,620,610,560,729,610,629,749,755,610,755,749,640,610,629,735,,610,729,799,615,755,,610,745,640,755,755,729
Y,125,140,179,175,140,125,175,125,129,125,100,175,179,175,140,130,179,179,125,135,130,100,175,130,100,179,140,130,140,179,130,130,100,140,,130,175,175,125,140,,130,140,130,140,140,175
Y,225,215,100,100,215,225,100,100,100,225,149,100,100,100,215,100,100,100,100,215,100,145,100,100,149,100,215,100,215,100,100,100,149,215,,100,100,140,225,215,,100,215,100,215,215,100
Y,280,280,300,325,280,280,300,285,285,280,279,325,300,300,280,325,325,300,285,250,325,230,325,325,279,325,280,325,280,300,285,325,279,280,,325,325,350,280,280,,325,280,285,280,280,325
Y,250,360,375,300,360,275,300,185,170,225,289,319,375,300,365,150,300,319,185,220,150,150,300,150,249,300,360,150,360,300,185,150,269,365,,150,300,400,255,360,,150,370,180,360,360,300
Y,250,360,375,300,360,275,300,185,170,225,289,319,375,300,365,150,300,319,185,220,150,150,300,150,249,300,360,150,360,300,185,150,269,365,,150,300,400,255,360,,150,370,180,360,360,300
Y,350,390,350,350,390,350,350,325,325,350,229,350,350,350,390,200,350,350,325,329,200,200,350,200,,350,390,200,390,350,325,200,259,390,,200,350,350,350,390,,200,390,,390,390,350
Y,195,215,259,210,215,215,210,100,100,180,125,210,250,210,200,100,210,210,100,180,100,150,210,100,119,210,215,100,215,229,105,100,169,230,,100,210,325,190,215,,100,215,100,215,215,210
Y,960,1115,1169,1149,1115,960,1150,960,959,970,1009,1149,1169,1150,1100,990,1149,1149,960,970,990,830,1149,990,979,1149,1115,990,1115,1149,960,990,969,1125,,990,1149,1169,980,1115,,990,1130,960,1115,1115,1149
Y,905,1050,1069,1049,1050,900,1050,900,899,910,969,1049,1069,1050,1050,900,1049,1049,900,915,900,780,1049,900,939,1049,1050,900,1050,1049,900,900,929,1050,,900,1049,1069,910,1050,,900,1070,900,1050,1050,1049
Y,660,770,750,750,770,670,750,625,625,670,649,750,750,750,790,630,750,750,625,655,630,550,750,630,619,750,770,630,770,750,625,630,629,770,,630,750,750,660,770,,630,775,625,770,770,750
Y,450,470,450,450,470,450,450,375,375,450,329,450,450,450,470,340,450,450,375,419,340,340,450,340,,450,470,340,470,450,375,340,359,470,,340,450,450,450,470,,340,470,,470,470,450
Y,920,1015,1129,1109,1015,920,1110,900,899,920,939,1110,1129,1109,1000,960,1109,1109,900,905,960,750,1109,960,919,1109,1015,960,1015,1109,900,960,899,1000,,960,1109,1150,925,1015,,960,1000,900,1015,1015,1109
Y,860,960,1029,1009,960,860,1010,840,839,860,889,1009,1029,1010,950,880,1009,1009,840,850,870,700,1009,870,889,1009,960,870,960,1009,840,870,869,950,,870,1009,1050,860,960,,870,960,840,960,960,1009
Y,600,680,700,700,680,600,700,560,565,600,559,700,700,700,680,600,700,700,560,580,600,475,700,600,559,700,680,600,680,700,565,600,559,680,,600,700,725,600,680,,600,670,560,680,680,700
Y,515,520,550,550,520,515,550,425,425,515,335,550,550,550,520,400,550,550,425,479,400,390,550,400,,550,520,400,520,550,425,400,419,520,,400,550,550,515,520,,400,520,,520,520,550
Y,350,390,350,350,390,350,350,325,325,350,279,350,350,350,390,200,350,350,325,329,200,200,350,200,,350,390,200,390,350,325,200,259,390,,200,350,350,350,390,,200,390,,390,390,350
Y,450,470,450,450,470,450,450,375,375,450,300,450,450,450,470,340,450,450,375,419,340,340,450,340,,450,470,340,470,450,375,340,359,470,,340,450,450,450,470,,340,470,,470,470,450
Y,515,520,550,550,520,515,550,425,425,515,399,550,550,550,520,400,550,550,425,479,400,390,550,400,,550,520,400,520,550,425,400,419,520,,400,550,550,515,520,,400,520,,520,520,550
Y,125,140,179,175,140,125,175,125,129,125,100,175,179,175,140,130,179,179,125,135,130,100,175,130,100,179,140,130,140,179,130,130,100,140,,130,175,175,125,140,,130,140,130,140,140,175
Y,160,139,,,139,160,,100,100,160,,,,,139,100,,,100,139,100,100,,100,100,,139,100,139,,100,100,100,139,,100,,,160,139,,100,139,100,139,139,
