Y,199,219,219,219,219,179,219,219,219,219,219,219,219,199,179,199,219,219,,199,219,199,199,219,199,219,219,169,219,219,199,199,,219,219,219,199,,169,199,219,219,219,199,199,219,,199,219,159,219,199,,219,219,,159,169,219
Y,199,199,199,199,199,169,199,199,199,199,199,199,199,199,169,199,199,199,,199,199,199,199,199,199,199,199,169,199,199,199,199,,199,199,199,199,,159,179,199,199,199,199,199,199,,199,199,159,199,199,,199,199,,159,159,199
Y,519,469,469,469,449,499,449,469,469,469,469,469,449,519,479,519,469,459,,519,469,519,519,449,519,469,469,519,449,449,519,519,,469,449,449,519,,459,449,469,469,459,519,519,469,,519,469,569,469,519,,449,449,,569,479,449
Y,599,599,599,599,599,539,599,599,599,599,599,599,599,599,499,599,599,599,,599,599,599,599,599,599,599,599,529,599,599,599,599,,599,599,599,599,,489,589,599,599,599,599,599,599,,599,599,579,599,599,,599,599,,579,499,599
Y,619,,,,,,,,,,,,,619,,619,,,,619,,619,619,,619,,,,,,619,619,,,,,619,,539,619,,,,619,619,,,619,,,,619,,,,,,539,
Y,559,599,599,599,599,539,619,599,599,599,599,599,619,559,559,559,599,599,,559,599,559,559,619,559,599,599,529,619,619,559,559,,599,619,619,559,,459,569,599,599,599,559,559,599,,559,599,569,599,559,,619,619,,569,459,619
Y,349,349,349,349,349,,349,349,349,349,349,349,349,349,259,349,349,349,,349,349,349,349,349,349,349,349,,349,349,349,349,,349,349,349,349,,279,369,349,349,349,349,349,349,,349,349,379,349,349,,349,349,,379,269,349
Y,1149,1159,1159,1159,1159,1019,1159,1159,1159,1159,1159,1159,1159,1149,1039,1149,1159,1159,,1149,1159,1149,1149,1159,1149,1159,1159,1019,1159,1159,1149,1149,,1159,1159,1159,1149,,1039,1149,1159,1159,1159,1149,1149,1159,,1149,1159,1069,1159,1149,,1159,1159,,1069,1039,1159
Y,1069,1069,1069,1069,1069,969,1069,1069,1069,1069,1069,1069,1069,1069,949,1069,1069,1069,,1069,1069,1069,1069,1069,1069,1069,1069,969,1069,1069,1069,1069,,1069,1069,1069,1069,,989,1089,1069,1069,1069,1069,1069,1069,,1069,1069,1009,1069,1069,,1069,1069,,1009,979,1069
Y,729,729,729,729,729,629,729,729,729,729,729,729,729,729,599,729,729,729,,729,729,729,729,729,729,729,729,629,729,729,729,729,,729,729,729,729,,629,679,729,729,729,729,729,729,,729,729,659,729,729,,729,729,,659,629,729
Y,30,29,29,29,29,49,29,29,29,29,29,29,29,30,29,30,29,29,,30,29,30,30,29,30,29,29,49,29,29,30,30,,29,29,29,30,,29,29,29,29,29,30,30,29,,30,29,,29,30,,29,29,,,29,29
Y,669,669,669,669,669,649,669,669,669,669,669,669,669,669,619,669,679,669,,669,669,669,669,669,669,669,669,649,669,669,669,669,,679,669,669,669,,549,699,679,679,669,669,669,669,,669,679,679,669,669,,669,669,,679,539,669
Y,1039,1049,1049,1049,1049,959,1049,1049,1049,1049,1049,1049,1049,1039,999,1039,1049,1049,,1039,1049,1039,1039,1049,1039,1049,1049,949,1049,1049,1039,1039,,1049,1049,1049,1039,,969,1129,1049,1049,1049,1039,1039,1049,,1039,1049,1029,1049,1039,,1049,1049,,1029,959,1049
Y,989,959,959,959,959,889,959,959,959,959,959,959,959,989,909,989,959,959,,989,959,989,989,959,989,959,959,889,959,959,989,989,,959,959,959,989,,909,1069,959,959,959,989,989,959,,989,959,969,959,989,,959,959,,989,899,959
Y,599,619,619,619,619,569,619,619,619,619,619,619,619,599,549,599,619,619,,599,619,599,599,619,599,619,619,559,619,619,599,599,,619,619,619,599,,569,659,619,619,619,599,599,619,,599,619,639,619,599,,619,619,,639,539,619
Y,89,99,99,99,99,59,99,99,99,99,99,99,99,89,79,89,99,99,,89,99,89,89,99,89,99,99,59,99,99,89,89,,99,99,99,89,,99,89,99,99,99,89,89,99,,89,99,119,99,89,,99,99,,119,99,99
Y,449,459,459,459,459,,459,459,459,459,459,459,459,449,,449,459,459,,449,459,449,449,459,449,459,459,,459,459,449,449,,459,459,459,449,,339,649,459,459,459,449,449,459,,449,459,,459,449,,459,459,,,339,459
Y,589,,,,,,,,,,,,,589,,589,,,,589,,589,589,,589,,,,,,589,589,,,,,589,,499,729,,,,589,589,,,589,,,,589,,,,,,519,
