en-US
Hamburger
Double Hamburger
Cheeseburger
Double Cheeseburger
Big Mac®
Quarter Pounder® Hamburger
Quarter Pounder® with Cheese
Small Premium Roast Coffee
Scrambled Eggs
Hotcakes
Hotcakes and Sausage
Sausage
English McMuffin®
Hash Browns
Egg McMuffin®
Small Unsweetened Iced Tea
6 pc. Chicken McNuggets®
20 pc. Chicken McNuggets®
Sausage Biscuit
Biscuit
Milk
Sausage McMuffin®
Extra Small Unsweetened Iced Tea
Medium Unsweetened Iced Tea
Small Decaf Coffee
Sausage McMuffin® with Egg
Bacon Egg Cheese Biscuit
Sausage Egg Cheese Biscuit
Sausage Egg Biscuit
Egg Biscuit
Deluxe Spicy McCrispy™ Large Meal
Deluxe Spicy McCrispy™ Meal
Deluxe Spicy McCrispy™
Spicy Pepper Sauce
Big Breakfast®
Spicy McCrispy™ Large Meal
Spicy McCrispy™ Meal
Spicy McCrispy™
American Cheese
Combo Pack
Steak Biscuit
Steak Egg Biscuit
Sausage Gravy Biscuit
Sausage Gravy
Burger Pack
Favorites for 6
Small Iced French Vanilla Latte
Medium Iced French Vanilla Latte
Large Iced French Vanilla Latte
Large Unsweetened Iced Tea
Bacon Egg Cheese Biscuit Meal
Sausage Egg Biscuit Meal
Egg McMuffin® Meal
Medium Premium Roast Coffee
Honest Kids® Organic Apple Juice Drink
Sausage Burrito
Hot Fudge Sundae
Caramel Sundae
Small Iced Caramel Latte
Vanilla Cone
Deluxe McCrispy™ Large Meal
Deluxe McCrispy™ Meal
Deluxe McCrispy™
Medium Iced Caramel Latte
McCrispy™ Meal Large
McCrispy™ Meal
McCrispy™
Large Iced Caramel Latte
Medium Decaf Coffee
Extra Small Dr Pepper®
Small Dr Pepper®
Medium Dr Pepper®
Large Dr Pepper®
Large Premium Roast Coffee
Large Decaf Coffee
Plain Sundae
4 pc. Chicken McNuggets®
Extra Small Coke®
Small Coke®
Medium Coke®
Large Coke®
Shamrock Mint Syrup
Sausage McMuffin® Meal
McDouble®
McDouble® Meal
McDouble® Large Meal
OREO® Shamrock McFlurry®
Extra Small Hi-C® Orange
Small Hi-C® Orange
Medium Hi-C® Orange
Large Hi-C® Orange
Big Breakfast® with Bacon & Hotcakes
Extra Small Diet Coke®
Small Diet Coke®
Medium Diet Coke®
Large Diet Coke®
Chocolate Drizzle
Caramel Drizzle
Basket of Fries
Apple Pie
Extra Small Sprite®
Small Sprite®
Medium Sprite®
Large Sprite®
Triple Cheeseburger
Auto Deduct - Happy Meal
Tangy BBQ Dipping Sauce
Sweet N Sour Dipping Sauce
Honey Packet
Hot Mustard Dipping Sauce
Mayonnaise
Creamy Ranch Sauce
Gift Certificate $1
Gift Certificate $5
Syrup
Extra Sauce Packet
Cup Of
Bacon McDouble®
Roma Tomato - 2 Slices
Extra Small Unsweet Iced Tea
Big Breakfast
Big Breakfast with Hotcakes
Small Iced Caramel Coffee
Medium Iced Caramel Coffee
L Unsweet Iced Tea
Large Iced Caramel Coffee
Medium Iced Coffee
Large Iced Coffee
Medium Iced French Vanilla Coffee
Large Iced French Vanilla Coffee
Small Iced Coffee
Small Iced French Vanilla Coffee
Extra Small Fanta® Orange
Small Fanta® Orange
Medium Fanta® Orange
Large Fanta® Orange
Small Americano
Medium Americano
Large Americano
Small Caramel Latte
Medium Caramel Latte
Large Caramel Latte
Small French Vanilla Latte
Medium French Vanilla Latte
40 pc. Chicken McNuggets®
Large French Vanilla Latte
Small Vanilla Cappuccino
Medium Vanilla Cappuccino
Large Vanilla Cappuccino
White Cheddar Cheese
Oatmeal
Raisins & Cranberries
Diced Apples
Small Chocolate Shake
Medium Chocolate Shake
Large Chocolate Shake
Small Strawberry Shake
Medium Strawberry Shake
Small Caramel Cappuccino
Large Strawberry Shake
Medium Caramel Cappuccino
Large Caramel Cappuccino
Small Vanilla Shake
Medium Vanilla Shake
Bacon Egg Cheese Bagel
Sausage Egg Cheese Bagel
Large Vanilla Shake
Folded Egg
Medium Premium Hot Chocolate
Sausage Gravy Biscuit Meal
2 Strawberry and Crème Pie
Steak & Egg McMuffin®
"Steak, Egg & Cheese McMuffin® Meal"
Extra Hotcake
Bacon Egg Cheese Bagel Meal
Sausage Egg Cheese Bagel Meal
