any,1199,1657,2155,4820,5964,6123,6723,7049,7148,7153,7468,7548,7601,7602,7943,7953,7972,8007,8015,11173,13355,13378,14195,14196,18138,18691,25845,27354,31791,33728,35221
Y,190,190,120,200,190,119,119,189,199,190,119,119,190,160,189,190,,120,119,,190,190,,,190,190,,190,120,260,190
Y,260,260,235,260,260,229,229,260,265,260,229,229,260,260,260,260,,240,229,,260,260,,,260,240,,260,240,340,260
Y,915,870,780,875,900,799,779,915,1000,900,759,749,850,860,880,890,,780,769,,840,840,,,875,880,,875,780,1155,875
Y,930,860,750,870,870,769,799,939,999,890,739,769,840,860,909,880,,750,799,,840,840,,,840,870,,900,750,1190,890
Y,845,840,710,860,855,749,789,860,955,850,759,799,830,820,810,860,,710,789,,805,830,,,820,865,,840,710,1135,855
Y,160,160,175,160,160,189,169,169,199,160,199,169,160,160,159,160,,180,179,,160,160,,,160,160,,160,180,320,160
Y,110,110,130,110,110,189,119,159,159,110,189,119,110,110,159,110,,130,119,,110,110,,,110,110,,110,130,110,110
Y,470,470,330,460,470,439,449,489,509,480,439,449,490,460,479,470,,330,449,,460,450,,,460,470,,470,330,500,450
Y,270,260,,280,290,,,289,349,290,,,280,270,269,280,,,,,270,260,,,240,290,,290,,360,290
Y,450,400,320,400,440,419,399,419,499,450,439,399,440,410,395,420,,320,419,,440,370,,,420,440,,420,320,500,420
Y,450,400,320,400,440,419,399,419,499,450,439,399,440,410,395,420,,320,419,,440,370,,,420,440,,420,320,500,420
Y,360,340,260,370,360,259,289,399,369,340,259,289,410,370,349,380,,260,289,,390,360,,,340,380,,400,260,460,390
Y,240,215,290,240,265,339,319,259,335,260,329,319,250,210,229,240,,290,319,,230,210,,,210,270,,260,290,310,270
Y,1325,1330,1180,1290,1305,1319,1319,1330,1430,1300,1299,1269,1275,1360,1305,1300,,1180,1259,,1275,1265,,,1290,1300,,1315,1180,1615,1280
Y,1245,1265,1110,1220,1220,1229,1239,1255,1345,1220,1219,1199,1205,1280,1235,1215,,1110,1199,,1205,1205,,,1220,1220,,1230,1110,1520,1195
Y,880,860,730,850,830,819,799,865,1015,850,799,799,810,895,839,770,,730,799,,820,810,,,780,820,,840,730,1020,840
Y,400,370,280,450,380,399,319,439,389,390,399,319,420,410,399,400,,280,319,,440,390,,,390,400,,420,280,490,420
Y,1230,1240,1130,1220,1240,1229,1149,1255,1365,1245,1219,1159,1215,1240,1235,1240,,1130,1149,,1180,1205,,,1205,1240,,1230,1130,1520,1220
Y,1155,1170,1050,1155,1155,1149,1099,1175,1280,1170,1129,1099,1145,1160,1170,1155,,1050,1099,,1115,1145,,,1135,1160,,1145,1050,1425,1135
Y,740,740,630,740,740,719,679,755,839,750,699,679,730,740,739,670,,630,669,,690,730,,,660,740,,720,630,700,740
Y,440,390,300,480,460,479,339,469,479,440,469,339,460,490,419,450,,300,339,,460,450,,,420,440,,470,300,520,460
Y,360,340,260,370,360,259,289,399,369,340,259,289,410,370,349,380,,260,289,,390,360,,,340,380,,400,260,460,390
Y,400,360,280,450,410,399,319,439,389,380,399,319,420,410,399,400,,280,319,,440,390,,,390,400,,420,280,490,420
Y,440,390,300,480,460,479,339,469,479,440,469,339,460,490,419,450,,300,339,,460,450,,,420,440,,470,300,520,460
Y,160,160,175,160,160,189,169,169,199,160,199,169,160,160,159,160,,180,179,,160,160,,,160,160,,160,180,320,160
Y,110,110,100,110,110,150,100,109,109,110,150,100,110,110,109,110,,100,100,,110,110,,,115,110,,110,100,110,110
Y,190,190,150,190,190,150,150,189,189,190,150,150,190,190,189,190,,150,150,,190,190,,,190,190,,190,150,240,190
Y,230,230,225,230,230,199,199,230,230,230,199,199,230,230,230,230,,230,199,,230,230,,,230,200,,230,230,290,230
Y,260,260,235,260,260,229,229,260,265,260,229,229,260,260,260,260,,240,229,,260,260,,,260,240,,260,240,330,260
Y,110,110,100,110,110,150,100,109,109,110,150,100,110,110,109,110,,100,100,,110,110,,,115,110,,110,100,110,110
Y,190,190,150,190,190,150,150,189,189,190,150,150,190,190,189,190,,150,150,,190,190,,,190,190,,190,150,240,190
Y,230,230,225,230,230,199,199,230,230,230,199,199,230,230,230,230,,230,199,,230,230,,,230,200,,230,230,290,230
Y,260,260,235,260,260,229,229,260,265,260,229,229,260,260,260,260,,240,229,,260,260,,,260,240,,260,240,330,260
Y,210,210,225,210,210,219,199,209,229,210,239,219,210,210,209,210,,230,219,,210,210,,,210,210,,210,230,370,210
Y,210,210,225,210,210,219,199,209,229,210,239,219,210,210,209,210,,230,219,,210,210,,,210,210,,210,230,370,210
Y,230,230,140,230,230,199,189,229,229,230,199,199,230,210,229,260,,140,189,,230,230,,,230,200,,230,140,320,200
Y,410,420,340,420,510,389,449,439,429,440,399,469,420,410,409,410,,340,459,,390,410,,,410,410,,410,340,490,410
Y,110,110,100,110,110,150,100,109,109,110,150,100,110,110,109,110,,100,100,,110,110,,,115,110,,110,100,110,110
