any,220,235,364,1424,2023,2279,2427,2570,3140,3397,3498,3514,3865,3907,4071,4092,4179,4238,4404,4456,4644,4654,4738,4787,4919,5249,5553,5590,5659,5731,5808,6011,6029,6228,6231,6849,7164,7712,8084,10147,10367,10393,10833,10858,11060,11066,11098,11473,11550,11796,11807,11885,12190,12391,12495,12501,13262,13697,14673,15793,16369,18534,20105,20533,21191,22258,22591,22592,22852,23481,23529,23895,24370,25211,26250,27183,27525,28191,28808,28828,30148,30374,30519,30578,30903,30968,31141,31188,31305,31397,31404,31442,31566,31869,31902,31973,32613,33423,33972,35806
Y,199,189,229,229,199,349,219,199,239,199,199,189,169,79,219,209,189,,219,220,259,179,229,199,,189,199,229,289,219,220,199,179,219,349,230,199,219,219,230,230,199,220,229,,220,,239,199,349,,219,199,219,229,229,169,189,199,,,199,209,230,229,189,199,199,209,220,199,219,209,219,439,230,179,249,,,,,,,,,229,289,,,219,349,230,209,,239,189,329,199,
Y,289,259,329,289,259,429,279,279,289,,299,319,199,,439,269,269,,289,319,329,329,289,279,,319,329,299,,269,319,319,259,279,449,270,319,329,279,270,270,319,319,299,,319,,319,259,429,,439,,259,,289,199,319,319,,,289,269,270,439,,319,319,,319,319,299,,269,519,270,219,299,,,,,,,,,289,369,,,329,429,270,269,,329,329,429,269,
Y,219,229,229,239,239,369,249,219,259,219,239,249,189,89,249,234,229,,239,249,309,239,259,249,,239,239,239,299,249,239,299,239,249,369,245,249,239,249,245,245,239,249,239,,249,,259,249,369,,249,249,249,259,259,189,239,239,,,219,234,245,249,229,239,239,259,249,229,239,259,229,449,245,199,269,,,,,,,,,269,359,,,239,369,245,234,,259,229,369,239,
Y,349,289,369,339,299,489,349,319,319,299,409,369,269,359,499,299,319,,339,349,349,369,319,319,,369,369,349,399,299,349,459,299,349,499,350,369,369,349,350,350,369,349,359,,349,,369,339,489,,499,329,299,359,319,279,369,365,,,349,299,350,499,319,369,369,359,349,369,339,359,319,599,350,279,359,,,,,,,,,319,389,,,369,489,350,299,,365,369,489,319,
Y,539,559,579,579,519,729,639,529,579,559,579,619,469,549,649,589,559,,569,599,609,629,579,529,,629,619,589,699,549,599,599,569,639,729,605,589,629,639,610,610,599,629,579,,599,,659,649,729,,649,589,519,549,559,469,599,629,,,599,589,610,649,619,629,629,549,599,589,519,549,609,789,610,449,669,,,,,,,,,559,639,,,629,729,610,589,,659,629,729,519,
Y,579,559,599,599,549,739,659,559,569,539,509,619,499,569,649,599,559,,539,599,619,649,569,599,,619,619,599,749,589,599,599,569,659,759,625,639,619,669,640,640,649,599,619,,599,,619,679,739,,649,549,549,569,589,499,639,619,,,539,599,640,649,579,649,649,569,599,619,539,569,619,829,640,499,619,,,,,,,,,579,679,,,679,739,640,599,,619,649,739,539,
Y,119,129,119,119,129,139,119,119,119,119,129,119,119,100,100,119,129,,119,119,129,119,119,129,,119,100,119,149,139,100,189,129,119,139,150,119,119,119,150,150,119,119,119,,100,,119,119,119,,100,119,129,100,119,119,119,119,,,119,119,150,100,119,119,119,100,119,119,119,100,119,149,150,119,119,,,,,,,,,119,129,,,119,139,150,119,,119,119,139,139,
Y,209,180,299,179,219,329,229,209,179,159,229,299,219,309,199,229,180,,229,209,209,299,179,229,,299,299,179,269,219,209,269,180,229,329,290,299,289,229,310,310,319,209,179,,209,,289,139,329,,199,159,229,309,179,180,299,289,,,229,229,310,199,169,299,299,309,209,299,209,309,259,399,310,199,239,,,,,,,,,179,199,,,299,329,310,229,,289,299,329,199,
Y,399,349,369,439,399,699,399,399,399,389,399,389,349,389,399,399,349,,399,519,439,379,419,429,,399,389,499,569,419,519,499,359,399,729,515,379,369,399,520,520,389,519,499,,519,,379,289,699,,399,349,369,389,419,389,389,389,,,399,399,520,399,399,379,389,389,519,379,399,389,299,759,520,349,379,,,,,,,,,399,449,,,389,699,520,399,,369,389,699,379,
