Y,249,179,259,269,269,239,269,250,300,199,179,239,219,229,259,300,269,219,219,269,179,249,,229,269,269,219
Y,369,319,329,339,339,369,359,355,300,319,269,299,349,339,339,320,299,299,319,329,279,359,,319,359,369,299
Y,369,319,329,339,339,369,359,355,300,319,269,299,349,339,339,320,299,299,319,329,279,359,,319,359,369,299
Y,349,239,339,289,289,349,339,240,350,219,239,329,299,299,349,350,339,329,299,289,239,349,,299,289,339,299
Y,289,159,219,219,269,289,249,225,269,259,159,199,189,169,259,280,199,189,189,259,189,269,,199,229,239,169
Y,909,859,939,1139,1129,909,949,1040,1149,859,879,999,1029,979,969,1150,979,989,969,1119,859,919,,1009,1129,979,969
Y,829,809,889,1079,1059,829,899,975,1049,769,829,949,939,919,929,1050,909,939,899,1059,819,829,,949,1059,939,899
Y,549,519,569,779,779,549,589,675,750,529,549,649,659,619,599,750,599,629,629,779,529,549,,629,779,619,629
Y,449,419,439,389,389,449,439,400,450,319,419,379,349,349,449,450,439,359,349,389,419,449,,349,389,439,349
Y,819,819,879,1049,1039,819,879,980,1109,789,819,879,889,869,879,1110,919,869,849,1029,819,829,,879,1039,909,869
Y,739,779,829,979,969,739,839,915,1009,679,779,819,809,809,819,1010,849,819,779,969,779,739,,829,969,869,799
Y,439,479,499,679,659,439,499,595,700,449,479,499,499,489,499,700,539,489,489,659,479,439,,489,669,539,509
Y,499,459,499,449,449,499,499,450,550,369,479,419,379,379,499,550,499,389,379,449,459,499,,389,449,499,389
Y,349,239,339,289,289,349,339,240,350,219,239,329,299,299,349,350,339,329,299,289,239,349,,299,289,339,299
Y,449,419,439,389,389,449,439,400,450,319,419,379,349,349,449,450,439,359,349,389,419,449,,349,389,439,349
Y,499,459,499,449,449,499,499,450,550,369,479,419,379,379,499,550,499,389,379,449,459,499,,389,449,499,389
Y,159,169,149,139,139,159,159,155,175,159,169,169,149,169,159,175,149,149,159,139,159,159,,159,139,149,149
Y,100,100,149,139,139,100,149,139,,100,100,100,119,100,100,,149,119,119,139,100,100,,100,139,149,119
Y,100,139,100,139,139,100,100,139,139,100,139,139,139,139,100,139,100,139,139,139,139,100,,139,139,100,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,179,189,169,159,159,179,179,190,200,179,189,189,169,189,179,215,179,169,179,159,179,179,,179,159,169,169
Y,179,189,169,159,159,179,179,190,200,179,189,189,169,189,179,215,179,169,179,159,179,179,,179,159,169,169
Y,179,,159,159,159,179,129,100,100,159,,179,129,179,179,100,129,129,129,159,,,,179,159,159,129
Y,219,249,259,269,269,219,289,250,350,269,249,219,229,229,219,325,259,239,229,269,249,219,,219,269,259,239
