Y,859,989,829,949,779,819,739,799,799,829,799,759,,749,759,799,799,949,879,919,,859,,949,849,,,819,889,,,,
Y,849,959,769,919,749,849,729,779,819,819,769,799,,739,799,739,789,919,869,869,,839,,919,849,,,759,879,,,,
Y,719,809,779,919,779,699,719,829,779,829,779,739,,739,749,769,829,899,869,889,,839,,919,699,,,799,829,,,,
Y,199,239,229,239,199,219,199,199,199,199,199,199,,189,199,229,239,249,239,229,,249,,239,189,,,199,229,,,,
Y,149,209,119,179,159,169,139,129,99,99,159,119,,139,119,139,139,119,119,139,,159,,179,119,,,119,119,,,,
Y,269,319,239,409,279,269,249,279,229,269,269,249,,249,249,259,289,339,309,429,,319,,409,269,,,269,319,,,,
Y,359,449,399,409,399,299,379,389,369,379,419,339,,369,329,399,369,419,409,419,,399,,409,379,,,299,409,,,,
Y,359,449,399,409,399,299,379,389,369,379,419,339,,369,329,399,369,419,409,419,,399,,409,379,,,299,409,,,,
Y,259,219,249,279,249,259,309,259,199,,249,219,,309,219,319,299,,219,259,,,,279,309,,,249,279,,,,
Y,239,369,339,289,339,269,309,299,289,269,349,259,,309,249,319,289,299,329,329,,249,,289,199,,,299,299,,,,
Y,1089,1319,999,1169,1029,1089,1059,1059,1009,1059,1039,1059,,1069,1049,1049,1079,1219,1119,1119,,1109,,1169,1089,,,1059,1089,,,,
Y,1019,1259,939,1059,979,1019,979,969,949,969,989,969,,999,969,999,969,1149,1039,1049,,1019,,1059,1019,,,999,999,,,,
Y,669,869,669,669,679,689,649,649,599,679,679,609,,659,609,629,629,729,679,719,,719,,669,689,,,669,659,,,,
Y,389,319,319,439,339,389,399,319,319,,339,329,,399,329,379,349,,349,299,,,,439,419,,,369,349,,,,
Y,999,1129,959,1129,889,999,949,989,949,989,899,999,,949,999,949,1009,1159,1039,1099,,1009,,1129,999,,,949,1009,,,,
Y,939,1009,849,1019,849,929,889,899,849,869,859,909,,899,909,909,839,1069,969,1009,,879,,1019,929,,,899,939,,,,
Y,559,729,559,629,499,569,559,569,499,569,499,579,,559,579,559,549,659,609,609,,579,,629,569,,,559,579,,,,
Y,429,419,359,459,379,429,419,379,369,,379,369,,419,369,419,419,,399,379,,,,459,469,,,389,399,,,,
Y,199,239,229,239,199,219,199,199,199,199,199,199,,189,199,229,239,249,239,229,,249,,239,189,,,199,229,,,,
Y,139,149,,149,,149,139,100,139,149,,149,,149,149,139,139,149,149,100,,149,,149,149,,,100,149,,,,
Y,149,149,100,149,100,149,149,149,149,149,100,149,,149,149,149,149,149,149,169,,149,,149,149,,,100,149,,,,
Y,149,149,149,149,149,149,149,149,149,149,149,149,,149,149,199,149,149,149,199,,149,,149,149,,,149,149,,,,
Y,149,149,149,149,149,149,149,149,149,149,149,149,,149,149,239,149,149,149,229,,149,,149,149,,,149,149,,,,
Y,149,,,149,,149,139,100,139,149,,149,,149,149,139,139,149,149,100,,149,,149,149,,,100,,,,,
Y,149,,100,149,100,149,149,149,149,149,100,149,,149,149,149,149,149,149,169,,149,,149,149,,,100,149,,,,
Y,149,,149,149,149,149,149,149,149,149,149,149,,149,149,199,149,149,149,199,,149,,149,149,,,149,149,,,,
Y,149,,149,149,149,149,149,149,149,149,149,149,,149,149,239,149,149,149,229,,149,,149,149,,,149,149,,,,
Y,239,289,269,279,249,249,239,239,239,239,249,229,,229,229,249,269,269,269,269,,289,,279,239,,,249,269,,,,
Y,239,289,269,279,249,249,239,239,239,239,249,229,,229,229,249,269,269,269,269,,289,,279,239,,,249,269,,,,
Y,209,249,259,259,259,209,169,239,189,209,259,199,,169,199,179,256,189,219,239,,259,,259,209,,,199,189,,,,
Y,359,449,399,409,399,299,379,379,369,379,399,339,,369,299,379,369,399,409,369,,319,,409,379,,,299,409,,,,
Y,229,339,279,309,269,249,259,239,239,279,259,239,,259,239,269,249,319,289,299,,289,,309,249,,,269,269,,,,
Y,139,149,,149,,149,139,100,139,149,,149,,149,149,139,139,149,149,100,,149,,149,149,,,100,149,,,,
Y,149,149,100,149,100,149,149,149,149,149,100,149,,149,149,149,149,149,149,169,,149,,149,149,,,100,149,,,,
Y,149,149,149,149,149,149,149,149,149,149,149,149,,149,149,199,149,149,149,199,,149,,149,149,,,149,149,,,,
Y,149,149,149,149,149,149,149,149,149,149,149,149,,149,149,239,149,149,149,229,,149,,149,149,,,149,149,,,,
Y,39,39,59,69,59,39,39,39,49,39,59,59,,39,59,39,39,39,39,39,,39,,69,39,,,,39,,,,
Y,539,579,669,689,579,629,449,619,539,539,689,468,,439,468,529,579,649,549,679,,609,,699,639,,,599,589,,,,
Y,199,229,209,229,209,199,139,199,139,199,209,169,,139,169,169,239,159,199,199,,229,,229,199,,,129,159,,,,
Y,329,389,299,349,299,329,339,339,319,329,299,319,,339,349,359,339,379,379,339,,369,,359,339,,,299,359,,,,
Y,489,539,559,549,539,529,469,499,519,449,559,599,,469,599,519,479,519,499,519,,519,,549,499,,,459,549,,,,
Y,139,149,,149,,149,139,100,139,149,,149,,149,149,139,139,149,149,100,,149,,149,149,,,100,149,,,,
Y,149,149,100,149,100,149,149,149,149,149,100,149,,149,149,149,149,149,149,169,,149,,149,149,,,100,149,,,,
Y,149,149,149,149,149,149,149,149,149,149,149,149,,149,149,199,149,149,149,199,,149,,149,149,,,149,149,,,,
Y,149,149,149,149,149,149,149,149,149,149,149,149,,149,149,239,149,149,149,229,,149,,149,149,,,149,149,,,,
Y,139,149,,149,,149,139,100,139,149,,149,,149,149,139,139,149,149,100,,149,,149,149,,,100,149,,,,
Y,149,149,100,149,100,149,149,149,149,149,100,149,,149,149,149,149,149,149,169,,149,,149,149,,,100,149,,,,
Y,149,149,149,149,149,149,149,149,149,149,149,149,,149,149,199,149,149,149,199,,149,,149,149,,,149,149,,,,
Y,149,149,149,149,149,149,149,149,149,149,149,149,,149,149,239,149,149,149,229,,149,,149,149,,,149,149,,,,
Y,39,35,79,60,69,,30,30,30,30,69,50,,30,50,30,40,40,40,30,,35,,60,,,,30,40,,,,
Y,39,35,89,60,69,,30,30,30,30,69,50,,30,50,30,40,40,40,30,,35,,60,,,,,40,,,,
Y,319,,,,,,,,,,,,,,,379,,,,,,,,,,,,,,,,,
Y,179,189,189,219,179,189,219,199,199,189,189,199,,219,199,219,219,199,199,199,,189,,219,169,,,179,229,,,,
Y,149,149,,149,,149,139,100,139,149,,149,,149,149,139,139,149,149,100,,149,,149,149,,,100,149,,,,
Y,149,149,100,149,100,149,149,149,149,149,100,149,,149,149,149,149,149,149,169,,149,,149,149,,,100,149,,,,
Y,149,149,149,149,149,149,149,149,149,149,149,149,,149,149,199,149,149,149,199,,149,,149,149,,,149,149,,,,
Y,149,149,149,149,149,149,149,149,149,149,149,149,,149,149,239,149,149,149,229,,149,,149,149,,,149,149,,,,
Y,449,569,559,519,579,469,569,549,489,469,569,499,,569,499,569,529,569,529,569,,569,,519,499,,,459,559,,,,
Y,56,56,58,69,68,68,63,68,68,68,68,49,,63,49,63,69,69,56,68,,58,,69,68,,,68,69,,,,
Y,25,25,29,15,29,25,25,25,25,25,29,,,25,,25,25,25,25,25,,25,,15,25,,,,25,,,,
Y,40,40,,50,,,,,,,,35,,,35,,30,30,30,,,40,,50,20,,,,30,,,,
Y,25,25,39,45,39,25,30,,25,25,39,40,,30,40,30,25,25,25,,,25,,45,25,,,25,25,,,,
Y,25,15,,15,,30,25,25,25,25,,39,,25,39,25,25,25,25,25,,15,,15,15,,,15,25,,,,
Y,499,331,,,,,,,,,,500,,,500,,,,,,,331,,,,,,200,,,,,
Y,249,100,,,,249,,,,249,,,,,,,,,,,,269,,,249,,,,,,,,
Y,439,559,449,429,499,459,459,459,479,439,499,479,,459,479,519,439,559,489,459,,519,,419,439,,,419,489,,,,
Y,149,100,,,,,129,,149,149,,149,,129,149,139,149,149,149,,,100,,,,,,,149,,,,
Y,25,35,50,60,50,,30,59,,,50,,,30,,39,40,40,40,59,,35,,60,20,,,40,40,,,,
Y,109,,,,,,100,,100,100,,149,,100,149,100,100,100,100,,,,,,,,,,100,,,,
Y,149,100,,,,,139,,149,149,,149,,139,149,199,149,149,149,,,109,,,,,,,149,,,,
Y,439,489,479,419,369,399,389,429,429,429,369,589,,389,469,559,599,419,429,449,,499,,419,639,,,599,419,,,,
Y,559,599,579,539,449,529,529,539,559,559,449,729,,529,579,649,699,529,549,559,,589,,539,799,,,839,519,,,,
Y,169,189,159,169,200,200,179,189,179,179,200,,,179,,249,199,149,179,189,,200,,169,200,,,199,109,,,,
Y,199,239,209,249,289,279,239,229,209,209,289,260,,239,240,279,199,229,279,229,,279,,249,279,,,259,199,,,,
Y,149,100,,,,100,149,,149,149,,149,,149,149,239,149,149,149,,,119,,,,,,,149,,,,
Y,229,289,259,289,339,319,259,279,249,249,339,280,,259,260,329,249,269,289,279,,329,,289,359,,,299,239,,,,
Y,189,239,209,249,289,279,239,229,209,209,289,260,,239,240,279,199,229,279,229,,279,,249,279,,,259,199,,,,
Y,209,289,259,289,339,319,259,279,249,249,339,280,,259,260,329,249,269,289,279,,329,,289,359,,,299,239,,,,
