Y,499,499,429,499,429,449,529,429,529,429,529,539,439,419,449,529,429,529,529,429,389,529,,429,429,389,429,429,499,429
Y,75,75,,75,,,,,,,,,,,,,,,,,,,,,,,,,75,
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,729,729,739,729,729,689,789,769,819,739,839,839,669,699,689,839,719,799,799,769,719,779,,789,729,719,779,759,729,779
Y,749,749,708,749,708,759,779,729,779,708,789,789,669,749,759,789,708,779,789,729,759,779,,729,708,759,759,699,749,729
Y,699,699,739,699,739,679,809,699,799,739,809,809,659,669,679,799,739,809,799,719,719,799,,759,739,719,749,749,699,729
Y,119,129,179,129,169,169,159,169,179,169,169,169,129,129,169,169,169,169,179,179,199,169,,169,169,199,169,179,129,169
Y,169,169,139,169,139,159,219,139,219,139,219,219,159,149,159,219,139,219,219,139,129,219,,139,139,129,139,139,169,139
Y,269,269,299,269,299,279,359,299,359,299,349,359,299,289,279,359,299,359,359,299,299,359,,299,299,299,299,299,269,299
Y,319,319,339,319,319,319,399,299,419,339,419,419,329,319,319,399,319,399,399,299,339,419,,399,339,339,319,399,319,379
Y,319,319,339,319,319,319,399,299,419,339,419,419,329,319,319,399,319,399,399,299,339,419,,399,339,339,319,399,319,379
Y,339,339,279,339,279,239,279,279,279,279,279,279,339,329,239,279,279,279,279,279,219,279,,279,279,219,279,279,339,279
Y,259,259,249,259,279,259,339,269,339,269,299,319,199,229,259,299,279,319,339,299,259,289,,279,279,239,269,319,259,289
Y,959,959,1069,959,1069,959,1119,1039,1119,1059,1119,1099,959,949,959,1119,1059,1119,1119,1049,909,1119,,1089,1069,909,1069,1069,959,1019
Y,909,909,1009,909,1029,919,1069,999,1069,1019,1079,1049,889,869,919,1059,1019,1059,1059,1009,849,1059,,1019,1019,849,1019,1029,909,979
Y,599,599,689,599,689,619,749,669,749,689,759,729,599,619,619,749,699,749,749,679,539,759,,689,689,539,689,689,599,669
Y,439,439,389,439,389,379,489,389,489,389,489,489,389,369,379,489,389,489,489,389,319,489,,389,389,319,389,389,439,389
Y,879,879,999,879,989,899,1049,979,1059,989,1049,1049,869,869,899,1049,999,1049,1049,989,849,1049,,1009,999,849,999,999,879,979
Y,829,829,939,829,949,859,999,939,1009,949,999,999,799,779,859,999,949,989,999,949,799,999,,959,949,789,959,949,829,939
Y,499,499,599,499,599,539,659,599,659,599,659,659,489,499,539,649,599,649,659,599,479,659,,599,599,479,599,599,499,599
Y,499,499,429,499,429,449,529,429,529,429,529,539,439,419,449,529,429,529,529,429,389,529,,429,429,389,429,429,499,429
Y,339,339,279,339,279,239,279,279,279,279,279,279,339,329,239,279,279,279,279,279,219,279,,279,279,219,279,279,339,279
Y,439,439,389,439,389,379,489,389,489,389,489,489,389,369,379,489,389,489,489,389,319,489,,389,389,319,389,389,439,389
Y,499,499,429,499,429,449,529,429,529,429,529,539,439,419,449,529,429,529,529,429,389,529,,429,429,389,429,429,499,429
Y,119,129,179,129,169,169,159,169,179,169,169,169,129,129,169,169,169,169,179,179,199,169,,169,169,199,169,179,129,169
Y,139,139,139,139,139,139,100,139,100,139,100,100,139,139,139,100,139,100,100,139,129,100,,139,139,129,139,139,139,139
Y,100,100,149,100,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,100,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,259,259,,259,,,,,,,,,,,,,,,,,,,,,,,,,259,
Y,259,259,,259,,,,,,,,,,,,,,,,,,,,,,,,,259,
Y,139,139,199,139,189,189,179,199,199,189,189,189,149,149,189,199,189,189,199,199,229,189,,189,189,219,189,199,149,189
Y,139,139,199,139,189,189,179,199,199,189,189,189,149,149,189,199,189,189,199,199,229,189,,189,189,219,189,199,149,189
Y,129,129,,129,,,,,,,,,,,,,,,,,,,,,,,,,129,
Y,199,199,339,199,319,299,389,299,389,319,389,389,279,,299,389,319,389,389,299,339,379,,339,339,319,319,349,199,379
Y,259,259,329,259,299,329,329,299,329,299,329,329,299,240,329,329,299,329,349,299,289,329,,299,299,289,299,299,259,299
Y,139,139,139,139,139,139,100,139,100,139,100,100,139,139,139,100,139,100,100,139,129,100,,139,139,129,139,139,139,139
Y,100,100,149,100,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,100,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,29,29,59,29,59,59,49,59,49,59,49,49,35,39,59,49,59,49,49,59,39,49,,59,59,39,59,59,29,59
