any,1723,1909,1993,2808,3454,3545,3809,4830,5157,5312,5367,6153,6863,6996,7189,7526,7638,8266,10169,10620,10944,11264,11378,11444,12334,13685,16707,20875,22665,24273,26530,32479,35292
Y,419,,399,449,449,369,,459,459,459,389,399,419,459,449,459,449,419,439,,,459,459,399,419,459,,449,,429,459,399,379
Y,249,219,249,259,259,219,219,249,249,249,219,249,249,319,259,249,319,249,319,249,,249,249,249,249,249,,319,249,319,249,219,219
Y,299,299,299,329,329,279,289,319,319,319,279,299,299,369,329,319,369,299,369,299,,319,319,299,299,319,,369,299,369,319,279,269
Y,339,359,339,389,389,319,349,379,379,379,319,339,339,419,389,379,419,339,419,339,,379,379,339,339,379,,419,339,419,379,319,319
Y,149,100,149,199,199,139,119,199,199,199,139,149,149,109,199,199,109,149,109,149,,199,199,149,149,199,,109,149,109,199,139,129
Y,239,189,239,219,219,199,189,219,219,219,199,239,239,219,219,219,229,239,219,239,,219,219,239,239,219,,229,239,219,219,199,199
Y,749,759,749,849,849,759,709,869,869,869,759,749,749,829,849,869,839,759,839,749,,869,869,749,759,869,,839,749,839,869,759,749
Y,779,769,779,949,949,739,739,949,949,949,739,779,779,829,949,949,839,779,839,779,,949,949,779,779,949,,839,779,839,949,739,739
Y,769,729,779,849,849,759,719,849,849,849,769,759,759,829,849,849,839,769,839,759,,849,849,759,759,849,,839,759,839,849,779,769
Y,219,199,219,259,259,159,179,249,249,249,169,219,219,199,259,249,259,219,199,219,,249,249,219,219,249,,199,219,219,249,179,179
Y,149,129,149,139,139,129,129,139,139,139,129,149,149,149,139,139,149,149,149,149,,139,139,149,149,139,,149,149,149,139,129,129
Y,269,249,269,269,269,249,249,259,259,259,249,269,269,269,269,259,269,269,269,269,,259,259,269,269,259,,269,269,269,259,249,249
Y,439,319,439,399,399,389,419,399,399,399,399,439,439,439,399,399,419,419,419,439,,399,399,419,429,399,,399,439,419,399,399,389
Y,439,319,439,399,399,389,419,399,399,399,399,439,439,439,399,399,419,419,419,439,,399,399,419,429,399,,399,439,419,399,399,389
Y,249,219,249,259,259,219,219,249,249,249,219,249,249,319,259,249,319,249,319,249,,249,249,249,249,249,,319,249,319,249,219,219
Y,379,279,379,239,239,299,319,249,249,249,299,379,379,299,239,249,299,379,319,379,,249,249,379,379,249,,319,379,319,249,299,299
Y,999,999,999,1059,1059,1029,999,1039,1039,1039,1029,999,999,1139,1059,1039,1139,999,1139,999,,1039,1039,999,999,1039,,1139,999,1139,1039,1029,1029
Y,939,949,959,1019,1019,979,949,989,989,989,979,939,939,1079,1019,989,1079,949,1079,949,,989,989,949,949,989,,1079,949,1079,989,979,979
Y,629,599,629,649,649,619,599,649,649,649,619,629,629,679,649,649,679,629,679,629,,649,649,649,629,649,,679,629,679,649,619,619
Y,299,299,299,329,329,279,289,319,319,319,279,299,299,369,329,319,369,299,369,299,,319,319,299,299,319,,369,299,369,319,279,269
Y,939,949,959,999,999,969,949,989,989,989,969,959,939,1119,999,989,1119,939,1119,939,,989,989,939,939,989,,1119,939,1119,989,969,969
Y,889,899,899,959,959,919,889,939,939,939,919,879,869,1059,959,939,1059,879,1049,889,,939,939,889,899,939,,1049,899,1059,939,919,919
Y,549,539,539,579,579,549,549,579,579,579,549,539,529,649,579,579,649,529,639,529,,579,579,549,549,579,,649,539,649,579,549,549
Y,339,359,339,389,389,319,349,379,379,379,319,339,339,419,389,379,419,339,419,339,,379,379,339,339,379,,419,339,419,379,319,319
Y,249,219,249,259,259,219,219,249,249,249,219,249,249,319,259,249,319,249,319,249,,249,249,249,249,249,,319,249,319,249,219,219
Y,299,299,299,329,329,279,289,319,319,319,279,299,299,369,329,319,369,299,369,299,,319,319,299,299,319,,369,299,369,319,279,269
Y,339,359,339,389,389,319,349,379,379,379,319,339,339,419,389,379,419,339,419,339,,379,379,339,339,379,,419,339,419,379,319,319
Y,219,199,219,259,259,159,179,249,249,249,169,219,219,199,259,249,259,219,199,219,,249,249,219,219,249,,199,219,219,249,179,179
Y,100,139,100,139,139,129,139,139,139,139,129,100,100,129,139,139,129,100,129,100,,139,139,100,100,139,,129,100,129,139,129,129
Y,149,169,169,159,159,159,169,149,149,149,149,159,159,169,159,149,149,159,159,159,,149,149,159,159,149,,159,159,149,149,159,149
Y,159,179,179,189,189,169,179,159,159,159,169,169,169,179,189,159,159,169,169,169,,159,159,169,169,159,,169,169,159,159,169,159
Y,169,189,189,199,199,179,189,169,169,169,179,179,179,189,199,169,169,179,179,179,,169,169,179,179,169,,179,179,169,169,179,169
Y,100,139,100,139,139,129,139,139,139,139,129,100,100,,139,139,129,100,129,100,,139,139,100,100,139,,129,100,129,139,129,129
Y,149,169,169,159,159,159,169,149,149,149,149,159,159,,159,149,149,159,159,159,,149,149,159,159,149,,159,159,149,149,159,149
Y,159,179,179,189,189,169,179,159,159,159,169,169,169,,189,159,159,169,169,169,,159,159,169,169,159,,169,169,159,159,169,159
Y,169,189,189,199,199,179,189,169,169,169,179,179,179,189,199,169,169,179,179,179,,169,169,179,179,169,,179,179,169,169,179,169
Y,239,239,239,279,279,189,219,269,269,269,189,239,239,239,279,269,279,239,229,239,,269,269,239,239,269,,229,239,239,269,199,199
Y,239,239,239,279,279,189,219,269,269,269,189,239,239,239,279,269,279,239,229,239,,269,269,239,239,269,,229,239,239,269,199,199
Y,189,159,189,259,259,169,159,259,259,259,169,189,189,169,259,259,169,189,169,189,,259,259,189,189,259,,169,189,169,259,169,179
Y,399,299,399,369,369,329,419,339,339,339,369,399,419,399,369,339,389,399,389,419,,339,339,399,399,339,,379,419,389,339,359,369
Y,289,239,289,279,279,259,239,279,279,279,259,289,289,289,279,279,289,289,289,289,,279,279,289,289,279,,289,289,289,279,259,249
Y,100,139,100,139,139,129,139,139,139,139,129,100,100,129,139,139,129,100,129,100,,139,139,100,100,139,,129,100,129,139,129,129
Y,149,169,169,159,159,159,169,149,149,149,149,159,159,169,159,149,149,159,159,159,,149,149,159,159,149,,159,159,149,149,159,149
Y,159,179,179,189,189,169,179,159,159,159,169,169,169,179,189,159,159,169,169,169,,159,159,169,169,159,,169,169,159,159,169,159
