any,2500,2507,2616
Y,630,615,665
Y,1250,1175,1185
Y,660,625,685
Y,1290,1210,1240
Y,400,400,400
Y,1255,1155,1180
Y,775,725,775
Y,1370,1290,1310
Y,700,685,750
Y,1370,1295,1340
Y,760,710,760
Y,1355,1275,1295
Y,785,740,800
Y,1390,1320,1345
Y,295,300,300
Y,740,690,755
Y,1350,1270,1300
Y,100,100,100
Y,150,150,150
Y,890,790,890
Y,1435,1365,1380
Y,445,480,485
Y,130,110,115
Y,70,70,80
Y,70,70,80
Y,70,70,80
Y,475,495,510
Y,540,565,580
Y,570,595,610
Y,640,660,680
Y,400,400,400
Y,400,400,400
Y,400,400,400
Y,70,70,80
Y,70,70,80
Y,100,100,100
Y,200,200,200
Y,500,500,500
Y,375,380,370
Y,445,435,425
Y,500,515,490
Y,375,380,370
Y,445,435,425
Y,500,515,490
Y,375,380,370
Y,445,435,425
Y,500,515,490
Y,375,380,370
Y,445,435,425
Y,500,515,490
Y,500,515,490
Y,570,485,540
Y,440,440,455
Y,340,340,335
Y,60,70,70
Y,565,540,535
Y,640,585,615
Y,665,640,680
Y,565,540,535
Y,640,585,615
Y,665,640,680
Y,565,540,535
Y,640,585,615
Y,665,640,680
Y,550,515,515
Y,375,380,370
Y,445,435,425
Y,500,515,490
Y,850,810,845
Y,1305,1270,1305
Y,1385,1350,1385
Y,1475,1440,1475
Y,955,945,955
Y,1035,1025,1035
Y,1125,1115,1125
Y,1250,1175,1185
Y,1370,1295,1340
Y,330,330,355
Y,440,395,420
Y,540,485,510
Y,640,535,585
Y,875,800,815
Y,1410,1260,1340
Y,1490,1340,1420
Y,1580,1430,1510
Y,995,990,995
Y,1550,1465,1505
Y,1630,1545,1585
Y,1720,1635,1675
Y,1545,1480,1535
Y,2105,1965,2015
Y,2185,2045,2095
Y,2275,2135,2185
Y,710,640,710
Y,1190,1160,1185
Y,1270,1240,1265
Y,1360,1330,1355
Y,1185,1060,1160
Y,1590,1515,1570
Y,1670,1595,1650
Y,1760,1685,1740
Y,1200,1135,1180
Y,1675,1590,1595
Y,1755,1670,1675
Y,1845,1760,1765
Y,430,440,420
Y,70,70,80
Y,455,425,455
Y,885,840,925
Y,1110,1090,1085
Y,830,785,840
Y,715,700,755
Y,125,150,125
Y,1060,965,1015
Y,1570,1475,1500
Y,350,350,350
Y,530,500,525
Y,530,500,525
Y,995,995,995
Y,385,380,360
Y,385,380,360
Y,385,380,360
Y,385,380,360
Y,870,800,835
Y,870,800,835
Y,870,800,835
Y,1170,1100,1135
