any,1157,1553,1841,1872,2557,3015,3021,3852,4363,6373,6830,8031,10092,10688,10982,11335,12233,12242,12751,14325,14670,14960,15795,17552,22198,23316,24998,26456
Y,889,819,809,889,769,889,889,809,,799,809,859,889,869,889,889,889,889,809,759,889,889,829,889,829,,889,
Y,259,189,199,259,189,259,259,199,,199,199,199,259,259,259,259,259,259,199,199,259,259,219,259,199,,249,
Y,139,119,119,139,119,139,139,119,,119,119,149,139,119,139,139,139,139,119,119,139,139,119,139,119,,139,
Y,269,259,259,269,269,269,269,259,,259,259,269,269,269,269,269,269,269,259,269,269,269,259,269,319,,269,
Y,399,349,399,399,369,399,399,399,,349,349,379,399,359,399,399,399,399,349,349,399,399,379,399,399,,399,
Y,399,349,399,399,369,399,399,399,,349,349,379,399,359,399,399,399,399,349,349,399,399,379,399,399,,399,
Y,219,249,269,219,249,219,219,269,,269,269,,219,229,219,219,219,219,269,259,219,219,269,219,269,,219,
Y,279,289,269,279,299,279,279,299,,259,299,279,279,259,279,279,279,279,259,299,279,279,259,279,259,,279,
Y,1099,1019,1019,1099,1029,1099,1099,1019,,989,1019,1289,1099,1059,1099,1099,1099,1099,1019,1039,1099,1099,1019,1099,1019,,1089,
Y,999,969,969,999,969,999,999,969,,939,969,1229,999,989,999,999,999,999,969,969,999,999,969,999,969,,999,
Y,659,629,629,659,639,659,659,629,,589,629,839,659,659,659,659,659,659,629,629,659,659,639,659,639,,659,
Y,339,329,329,339,319,339,339,329,,329,329,,339,289,339,339,339,339,329,319,339,339,329,339,329,,339,
Y,1039,949,949,1039,949,1039,1039,949,,909,949,1169,1039,989,1039,1039,1039,1039,949,959,1039,1039,949,1039,949,,1049,
Y,959,889,889,959,889,959,959,889,,859,889,1109,959,919,959,959,959,959,889,899,959,959,889,959,889,,959,
Y,599,539,539,599,529,599,599,539,,499,539,699,599,569,599,599,599,599,539,529,599,599,539,599,539,,599,
Y,389,359,359,389,359,389,389,359,,359,359,,389,349,389,389,389,389,359,359,389,389,359,389,359,,389,
Y,219,249,269,219,249,219,219,269,,269,269,,219,229,219,219,219,219,269,259,219,219,269,219,269,,219,
Y,339,329,329,339,319,339,339,329,,329,329,,339,289,339,339,339,339,329,319,339,339,329,339,329,,339,
Y,389,359,359,389,359,389,389,359,,359,359,,389,349,389,389,389,389,359,359,389,389,359,389,359,,389,
Y,259,189,199,259,189,259,259,199,,199,199,199,259,259,259,259,259,259,199,199,259,259,219,259,199,,249,
Y,129,119,119,129,119,129,129,119,,119,119,139,129,100,129,129,129,129,119,119,129,129,119,129,119,,129,
Y,159,149,149,159,149,159,159,149,,149,159,139,159,149,159,159,159,159,149,159,159,159,149,159,139,,159,
Y,169,159,159,169,159,169,169,159,,159,169,139,169,159,169,169,169,169,159,169,169,169,159,169,139,,169,
Y,179,169,169,179,169,179,179,169,,169,179,139,179,169,179,179,179,179,169,179,179,179,169,179,139,,179,
Y,129,119,119,129,119,129,129,119,,119,119,139,129,100,129,129,129,129,119,119,129,129,119,129,119,,129,
Y,159,149,149,159,149,159,159,149,,149,159,139,159,149,159,159,159,159,149,159,159,159,149,159,139,,159,
Y,169,159,159,169,159,169,169,159,,159,169,139,169,159,169,169,169,169,159,169,169,169,159,169,139,,169,
Y,179,169,169,179,169,179,179,169,,169,179,139,179,169,179,179,179,179,169,179,179,179,169,179,139,,179,
Y,279,229,229,279,229,279,279,239,,229,239,239,279,299,279,279,279,279,229,239,279,279,269,279,229,,269,
Y,279,229,229,279,229,279,279,239,,229,239,239,279,299,279,279,279,279,229,239,279,279,269,279,229,,269,
Y,269,199,189,269,139,269,269,189,,189,189,169,269,209,269,269,269,269,199,139,269,269,189,269,189,,269,
Y,399,349,369,399,359,399,399,389,,349,349,319,399,339,399,399,399,399,349,339,399,399,379,399,369,,399,
Y,279,279,279,279,279,279,279,279,,279,279,279,279,269,279,279,279,279,279,269,279,279,279,279,259,,279,
Y,129,119,119,129,119,129,129,119,,119,119,139,129,100,129,129,129,129,119,119,129,129,119,129,119,,129,
Y,159,149,149,159,149,159,159,149,,149,159,139,159,149,159,159,159,159,149,159,159,159,149,159,139,,159,
Y,169,159,159,169,159,169,169,159,,159,169,139,169,159,169,169,169,169,159,169,169,169,159,169,139,,169,
Y,179,169,169,179,169,179,179,169,,169,179,139,179,169,179,179,179,179,169,179,179,179,169,179,139,,179,
Y,29,69,69,29,49,29,29,69,,69,69,45,29,,29,29,29,29,69,49,29,29,69,29,69,,29,
Y,39,39,39,39,39,39,39,39,,39,39,,39,39,39,39,39,39,39,39,39,39,39,39,39,,39,
Y,249,179,169,249,129,249,249,169,,169,169,149,249,179,249,249,249,249,179,129,249,249,169,249,169,,249,
Y,399,359,359,399,329,399,399,359,,359,359,359,399,309,399,399,399,399,369,329,399,399,369,399,359,,399,
Y,589,499,539,589,529,589,589,539,,519,539,569,589,569,589,589,589,589,539,529,589,589,519,589,519,,599,
Y,129,119,119,129,119,129,129,119,,119,119,139,129,100,129,129,129,129,119,119,129,129,119,129,119,,129,
Y,159,149,149,159,149,159,159,149,,149,159,139,159,149,159,159,159,159,149,159,159,159,149,159,139,,159,
Y,169,159,159,169,159,169,169,159,,159,169,139,169,159,169,169,169,169,159,169,169,169,159,169,139,,169,
Y,179,169,169,179,169,179,179,169,,169,179,139,179,169,179,179,179,179,169,179,179,179,169,179,139,,179,
Y,129,119,119,129,119,129,129,119,,119,119,139,129,100,129,129,129,129,119,119,129,129,119,129,119,,129,
Y,159,149,149,159,149,159,159,149,,149,159,139,159,149,159,159,159,159,149,159,159,159,149,159,139,,159,
Y,169,159,159,169,159,169,169,159,,159,169,139,169,159,169,169,169,169,159,169,169,169,159,169,139,,169,
Y,179,169,169,179,169,179,179,169,,169,179,139,179,169,179,179,179,179,169,179,179,179,169,179,139,,179,
Y,199,219,209,199,209,199,199,209,,209,209,199,199,259,199,199,199,199,219,209,199,199,209,199,209,,199,
Y,129,119,119,129,119,129,129,119,,119,119,139,129,100,129,129,129,129,119,119,129,129,119,129,119,,129,
Y,159,149,149,159,149,159,159,149,,149,159,139,159,149,159,159,159,159,149,159,159,159,149,159,139,,159,
Y,169,159,159,169,159,169,169,159,,159,169,139,169,159,169,169,169,169,159,169,169,169,159,169,139,,169,
Y,179,169,169,179,169,179,179,169,,169,179,139,179,169,179,179,179,179,169,179,179,179,169,179,139,,179,
Y,579,499,499,579,479,579,579,489,,499,499,629,579,519,579,579,579,579,499,479,579,579,499,579,519,,579,
Y,200,,,200,,200,200,,,,,,200,,200,200,200,200,,,200,200,,200,,,200,
Y,68,68,68,68,79,68,68,68,,68,68,68,68,85,68,68,68,68,68,79,68,68,68,68,68,,68,
Y,549,429,429,549,399,549,549,429,,429,429,619,549,439,549,549,549,549,429,399,549,549,429,549,429,,549,
Y,100,,100,100,,100,100,,,,,,100,,100,100,100,100,100,,100,100,100,100,100,,100,
Y,169,59,59,169,59,169,169,59,,59,59,40,169,40,169,169,169,169,59,59,169,169,59,169,59,,169,
Y,100,,,100,,100,100,99,,,99,,100,,100,100,100,100,,,100,100,,100,119,,100,
Y,100,,100,100,,100,100,100,,,100,,100,,100,100,100,100,100,,100,100,100,100,100,,100,
Y,3299,3319,3219,3299,3069,3299,3299,3239,,3249,3219,,3299,3419,3299,3299,3299,3299,3219,2949,3299,3299,3269,3299,,,3299,
Y,449,449,449,449,429,449,449,449,,449,449,619,449,609,449,449,449,449,449,419,449,449,449,449,449,,449,
Y,549,559,559,549,539,549,549,559,,559,559,779,549,709,549,549,549,549,559,519,529,549,559,549,559,,549,
Y,219,,,219,,219,219,,,,,199,219,,219,219,219,219,,,219,219,,219,,,219,
Y,239,219,219,239,229,239,239,219,,219,219,199,239,229,239,239,239,239,219,229,239,239,219,239,199,,239,
Y,100,,100,100,,100,100,100,,,100,,100,,100,100,100,100,100,,100,100,100,100,100,,100,
Y,259,239,239,259,259,259,259,239,,239,239,199,259,249,259,259,259,259,249,259,259,259,239,259,199,,259,
Y,239,219,219,239,229,239,239,219,,219,219,199,239,229,239,239,239,239,219,229,239,239,219,239,199,,239,
Y,259,239,239,259,259,259,259,239,,239,239,199,259,249,259,259,259,259,249,259,259,259,239,259,199,,259,
Y,239,219,219,239,229,239,239,219,,219,219,199,239,229,239,239,239,239,219,229,239,239,219,239,199,,239,
Y,259,239,239,259,259,259,259,239,,239,239,199,259,249,259,259,259,259,249,259,259,259,239,259,199,,259,
Y,189,239,199,189,239,189,189,199,,199,199,269,189,,189,189,189,189,199,279,189,189,199,189,219,,189,
Y,219,,,219,,219,219,,,,,199,219,,219,219,219,219,,,219,219,,219,,,219,
Y,100,99,99,100,99,100,100,99,,99,99,89,100,119,100,100,100,100,99,99,100,100,99,100,99,,100,
Y,219,,,219,,219,219,,,,,199,219,,219,219,219,219,,,219,219,,219,,,219,
Y,129,119,119,129,119,129,129,119,,119,119,139,129,100,129,129,129,129,119,119,129,129,119,129,119,,129,
Y,159,149,149,159,149,159,159,149,,149,159,139,159,149,159,159,159,159,149,159,159,159,149,159,139,,159,
Y,169,159,159,169,159,169,169,159,,159,169,139,169,159,169,169,169,169,159,169,169,169,159,169,139,,169,
Y,179,169,169,179,169,179,179,169,,169,179,139,179,169,179,179,179,179,169,179,179,179,169,179,139,,179,
Y,219,229,249,219,239,219,219,249,,249,249,200,219,219,219,219,219,219,229,249,219,219,239,219,249,,219,
Y,299,289,299,299,299,299,299,319,,299,299,319,299,249,299,299,299,299,289,299,299,299,299,299,299,,299,
Y,389,329,339,389,319,389,389,339,,339,339,399,389,259,389,389,389,389,329,329,389,389,349,389,339,,389,
Y,239,269,269,239,259,239,239,269,,269,269,259,239,229,239,239,239,239,269,259,239,239,269,239,269,,239,
Y,339,329,329,339,319,339,339,329,,329,329,339,339,289,339,339,339,339,329,399,339,339,329,339,329,,339,
Y,389,389,389,389,359,389,389,389,,389,389,419,389,349,389,389,389,389,389,419,389,389,359,389,389,,389,
Y,239,269,269,239,259,239,239,269,,269,269,259,239,229,239,239,239,239,269,259,239,239,269,239,269,,239,
Y,339,329,329,339,319,339,339,329,,329,329,339,339,289,339,339,339,339,329,399,339,339,329,339,329,,339,
Y,1669,1329,1329,1669,1319,1669,1669,1319,,1289,1319,1789,1669,1599,1669,1669,1669,1669,1319,1299,1669,1669,1259,1669,1349,,1689,
Y,389,389,389,389,359,389,389,389,,389,389,419,389,349,389,389,389,389,389,419,389,389,359,389,389,,389,
Y,239,239,239,239,249,239,239,239,,239,239,219,239,229,239,239,239,239,239,249,239,239,239,239,239,,239,
Y,319,319,319,319,299,319,319,319,,319,319,349,319,289,319,319,319,319,319,299,319,319,289,319,319,,319,
Y,389,369,369,389,379,389,389,369,,369,369,419,389,389,389,389,389,389,369,379,389,389,369,389,369,,389,
Y,99,79,79,99,99,99,99,79,,79,79,99,99,89,99,99,99,99,79,99,99,99,79,99,79,,99,
Y,389,349,399,389,389,389,389,419,,369,419,399,389,359,389,389,389,389,369,379,389,389,409,389,389,,389,
Y,49,90,90,49,,49,49,90,,90,90,40,49,30,49,49,49,49,90,,49,49,90,49,90,,49,
Y,439,399,419,439,419,439,439,419,,419,419,499,439,439,439,439,439,439,419,399,439,439,419,439,399,,439,
Y,499,479,459,499,449,499,499,469,,449,479,579,499,499,499,499,499,499,479,439,499,499,469,499,459,,519,
Y,569,549,479,569,489,569,569,499,,499,519,619,569,579,569,569,569,569,519,489,569,569,519,569,489,,569,
Y,439,399,419,439,419,439,439,419,,419,419,499,439,439,439,439,439,439,419,399,439,439,419,439,399,,439,
Y,499,479,459,499,449,499,499,469,,449,479,579,499,499,499,499,499,499,479,439,499,499,469,499,459,,519,
Y,239,239,239,239,249,239,239,239,,239,239,219,239,229,239,239,239,239,239,249,239,239,239,239,239,,239,
Y,569,549,479,569,489,569,569,499,,499,519,619,569,579,569,569,569,569,519,489,569,569,519,569,489,,569,
Y,319,319,319,319,299,319,319,319,,319,319,349,319,289,319,319,319,319,319,299,319,319,289,319,319,,319,
Y,389,369,369,389,379,389,389,369,,369,369,419,389,389,389,389,389,389,369,379,389,389,369,389,369,,389,
Y,439,399,419,439,419,439,439,419,,419,419,499,439,439,439,439,439,439,419,399,439,439,419,439,399,,439,
Y,499,479,459,499,449,499,499,469,,449,479,579,499,499,499,499,499,499,479,439,499,499,469,499,459,,519,
